code,province_code,name,latitude,longitude
7401,74,"Kab. Kolaka",-4.0745092717578,121.52199096111
7402,74,"Kab. Konawe",-3.5308759531152,121.86331694046
7403,74,"Kab. Muna",-4.9446573078599,122.62960442048
7404,74,"Kab. Buton",-5.3165027951087,122.9229364947
7405,74,"Kab. Konawe Selatan",-4.2627277846531,122.42330975478
7406,74,"Kab. Bombana",-4.8008735976959,121.85239830645
7407,74,"Kab. Wakatobi",-5.5712467530986,123.78541247677
7408,74,"Kab. Kolaka Utara",-3.2627120717445,121.13404661468
7409,74,"Kab. Konawe Utara",-3.3906967981069,122.03045499886
7410,74,"Kab. Buton Utara",-4.7037578947429,123.01238162438
7411,74,"Kab. Kolaka Timur",-3.7954606806056,121.60859193731
7412,74,"Kab. Konawe Kepulauan",-4.1145840258716,123.09625089036
7413,74,"Kab. Muna Barat",-4.8169254267844,122.49255152566
7414,74,"Kab. Buton Tengah",-5.317004455215,122.39866997224
7415,74,"Kab. Buton Selatan",-5.6047071177585,122.67155963837
7471,74,"Kota Kendari",-3.9977076884525,122.53288120477
7472,74,"Kota Bau Bau",-5.4287686320372,122.67579511287
