code,province_code,name,latitude,longitude
7301,73,"Kab. Kepulauan Selayar",-6.5578940601743,120.71787979062
7302,73,"Kab. Bulukumba",-5.4314504024094,120.23432620358
7303,73,"Kab. Bantaeng",-5.4901810343538,119.98736459323
7304,73,"Kab. Jeneponto",-5.5670271498886,119.69887994925
7305,73,"Kab. Takalar",-5.4184545188945,119.47414660011
7306,73,"Kab. Gowa",-5.3089044545224,119.71872022687
7307,73,"Kab. Sinjai",-5.2092833659469,120.13541509179
7308,73,"Kab. Bone",-4.6949879345384,120.13005213977
7309,73,"Kab. Maros",-4.9996246996889,119.72628670336
7310,73,"Kab. Pangkajene Kepulauan",-4.938544568685,119.47958974337
7311,73,"Kab. Barru",-4.4399957474327,119.69484668463
7312,73,"Kab. Soppeng",-4.3370424125038,119.89337873637
7313,73,"Kab. Wajo",-3.9918262951139,120.17283503988
7314,73,"Kab. Sidenreng Rappang",-3.8131133146404,119.95848331906
7315,73,"Kab. Pinrang",-3.6282475322801,119.60267110363
7316,73,"Kab. Enrekang",-3.50385563745,119.8745740594
7317,73,"Kab. Luwu",-3.1992107616132,120.18311908908
7318,73,"Kab. Tana Toraja",-3.1156062208067,119.71162993559
7322,73,"Kab. Luwu Utara",-2.3959351841425,120.16443417949
7324,73,"Kab. Luwu Timur",-2.556045275122,121.12833364789
7326,73,"Kab. Toraja Utara",-2.8796217484782,119.86426012459
7371,73,"Kota Makassar",-5.1356102387661,119.46389981936
7372,73,"Kota Pare Pare",-4.0316426493481,119.66355535309
7373,73,"Kota Palopo",-2.9797069485196,120.14776633592
