code,name,latitude,longitude,coordinates
11,Aceh,4.2257285830382,96.9118740861,
12,"Sumatera Utara",2.188437979082,99.058057179821,
13,"Sumatera Barat",-0.84852175286784,100.46541730525,
14,Riau,0.50874448066631,101.81497000629,
15,Jambi,-1.6988005447435,102.715891319,
16,"Sumatera Selatan",-3.2126961773831,104.17033311474,
17,Bengkulu,-3.5563193459045,102.34247132066,
18,Lampung,-4.9173148240982,105.02166076303,
19,"Kepulauan Bangka Belitung",-2.4499356994256,106.55613967526,
21,"Kepulauan Riau",1.4810032134282,105.40492588053,
31,"Dki Jakarta",-6.199048542608,106.83437824682,
32,"Jawa Barat",-6.9206313577858,107.60331918558,
33,"Jawa Tengah",-7.2593922658761,110.20148817592,
34,"Daerah Istimewa Yogyakarta",-7.8949212697972,110.44558810594,
35,"Jawa Timur",-7.7193834829673,112.73244037323,
36,Banten,-6.4561328039951,106.10895696008,
51,Bali,-8.3697696996561,115.13167541864,
52,"Nusa Tenggara Barat",-8.6066091710755,117.50762093778,
53,"Nusa Tenggara Timur",-9.2604209758859,122.18182951635,
61,"Kalimantan Barat",-0.086523724678437,111.12076049059,
62,"Kalimantan Tengah",-1.6061537640941,113.41627458611,
63,"Kalimantan Selatan",-3.0020676284315,115.43961754351,
64,"Kalimantan Timur",0.45468858803883,116.45094318133,
65,"Kalimantan Utara",2.9150251020278,116.24567929616,
71,"Sulawesi Utara",1.2611200722403,124.52273057269,
72,"Sulawesi Tengah",-1.0179487916987,121.20690427525,
73,"Sulawesi Selatan",-3.7340594706921,120.16108812544,
74,"Sulawesi Tenggara",-4.1364611491307,122.07459069008,
75,Gorontalo,0.68630186022419,122.37570455293,
76,"Sulawesi Barat",-2.4655741522297,119.34743476951,
81,Maluku,-4.7381463612266,129.84017376291,
82,"Maluku Utara",0.21161515429599,127.54213573832,
91,Papua,-2.6178780251772,138.53215602163,
92,"Papua Barat",-2.654039177811,133.64947782326,
93,"Papua Selatan",-6.6800636838433,139.54696286745,
94,"Papua Tengah",-3.9033303258913,136.64416653893,
95,"Papua Pegunungan",-4.2694441911651,139.49860571994,
